review_id,rating,review
1,5,Its a really good shoe for the price. Comfortable and looks exactly like the picture.
2,5,Good quality and very comfortable to wear. Delivery was also fast.
3,4,The shoes look nice and the quality is good for this price range.
4,5,Very happy with the purchase. Same product as shown and fitting is perfect.
5,5,Got the shoes quickly and the packaging was good. Recommended.
6,4,Comfortable shoes with decent quality. Worth buying at this price.
7,5,Excellent product according to the price. I really liked the design.
8,4,Good shoes and comfortable for daily use. Size was also correct.
9,5,Delivery was very fast and the shoes are exactly as expected.
10,4,"Nice product, good finishing and affordable price. Satisfied with it."
11,5,The shoes are comfortable and stylish. Definitely worth the money.
12,3,Quality is okay for the price but the stitching could have been better.
13,5,Very good product. Looks premium and feels comfortable while walking.
14,4,Same as shown in the photos. Good quality and fast delivery.
15,5,Really liked these shoes. They fit perfectly and are comfortable.
16,4,Good value for money. The material feels decent and the design is nice.
17,5,Amazing shoes at this price. Comfortable enough for everyday use.
18,4,Product arrived safely and looks exactly like the listing. Happy with it.
19,5,Seller delivered the product quickly. Shoes are good quality and affordable.
20,3,The shoes look good but the sole feels a little thin. Otherwise okay.
21,5,Very comfortable shoes and the size is exactly what I ordered.
22,4,Nice looking shoes with good finishing. Worth buying.
23,5,I am satisfied with the product. Quality is better than expected.
24,4,Good shoes for casual use. Delivery was also on time.
25,5,The product is exactly as advertised. Comfortable and stylish.
26,4,Good quality in this price range. No complaints so far.
27,5,Loved the shoes. They are lightweight and comfortable to wear.
28,3,The color is slightly different from the picture but the quality is okay.
29,5,Fast delivery and nice product. I would recommend these shoes.
30,4,Comfortable and good looking. The price is reasonable too.
31,5,Excellent purchase. The shoes fit well and look very nice.
32,4,Product arrived as expected. Quality is good for daily wearing.
33,5,Very happy with the shoes. Same size and design as ordered.
34,3,Average quality. Comfortable enough but finishing could be improved.
35,5,Good product and good service from the seller. Recommended.
36,4,Shoes are comfortable and the material feels quite good.
37,5,Really nice shoes at an affordable price. Worth every rupee.
38,4,Looks great and fits perfectly. Delivery was faster than expected.
39,5,The quality is surprisingly good for the price. Very satisfied.
40,4,Nice casual shoes. Comfortable and exactly as shown in the listing.
41,2,The design is nice but the stitching started coming loose after a few uses.
42,5,Great product and excellent value for money. Would buy again.
43,4,"Good shoes, comfortable fit and decent finishing. Happy with the purchase."
44,5,Fast delivery and the shoes look even better in person. Highly recommended.
45,4,The product is good and the size is accurate. Overall satisfied.
46,3,Not bad for the price. The shoes are comfortable but don't feel very durable.
47,5,Best shoes in this price range. Quality and comfort are both good.
48,4,Received the same product shown in the picture. Good quality and nice fitting.
49,5,Very comfortable and stylish shoes. Delivery was also quick.
50,4,Good value for money. Seller was helpful and the product arrived on time.
51,5,"Excellent shoes for everyday use. Good quality, good price and comfortable."
